id,fecha_evento,planeado,evento,lugar,intrusion
1,12/27/2021,false,Zulu November Romeo Hotel Lima Charlie Juliett Mike Uniform Bravo Whiskey,AF,true
2,8/6/2021,false,Juliett Kilo Charlie Foxtrot Echo Delta Alfa Hotel Romeo India Uniform Golf Quebec Lima Sierra Tango X-ray Bravo Papa Whiskey,NA,false
3,12/24/2021,false,Delta Quebec Papa Foxtrot Juliett Mike Charlie Golf Romeo Bravo,SA,false
4,12/23/2021,true,Papa Kilo Uniform Echo Yankee Juliett Romeo Lima Whiskey November Tango Victor,EU,false
5,9/9/2021,false,Papa Tango Quebec Alfa X-ray Lima Bravo Uniform Foxtrot India Juliett Victor Mike Romeo,OC,true
6,10/21/2021,false,Sierra Quebec Alfa November Lima Delta Hotel Victor Echo Yankee Charlie Bravo Mike Papa Golf,NA,false
7,12/29/2021,true,Lima X-ray Romeo Foxtrot Victor Zulu Oscar Hotel Papa Delta Bravo India Whiskey Juliett Yankee Kilo Echo November Sierra Golf,AS,true
8,10/8/2021,false,Tango Uniform November Hotel Mike Delta Yankee Juliett Papa India Charlie Kilo Lima Quebec X-ray Echo Sierra Bravo Oscar Golf,EU,true
9,11/9/2021,false,Charlie Zulu X-ray Hotel Uniform Echo November Yankee Romeo Quebec,AS,true
10,7/25/2021,false,Golf Foxtrot Quebec Alfa Uniform Whiskey Lima Delta Kilo Juliett Sierra X-ray Echo Tango,OC,true
11,8/26/2021,true,Foxtrot Kilo Oscar Mike Lima Golf Yankee Hotel Sierra Echo Uniform Charlie Papa Victor Juliett X-ray Alfa Delta Romeo,OC,false
12,7/3/2021,false,India Oscar Echo Zulu Tango Charlie November Kilo Papa Hotel Alfa Lima Quebec,NA,false
13,9/16/2021,false,Uniform Romeo Foxtrot Sierra Mike Golf Lima Juliett Echo X-ray Bravo November Papa Zulu Quebec Charlie Victor Kilo,AF,false
14,10/7/2021,false,Whiskey Golf Sierra Tango Oscar India Quebec November Charlie Papa,EU,true
15,10/23/2021,false,Tango Quebec Mike Juliett Bravo Foxtrot Romeo Victor Oscar Sierra Delta Alfa Hotel Lima Papa Echo Uniform Whiskey,NA,true
16,9/13/2021,true,X-ray Golf Uniform Papa Alfa Tango Quebec Echo November Hotel Mike Yankee Romeo Oscar Bravo India Foxtrot Juliett,NA,false
17,9/6/2021,false,Zulu Tango Golf Hotel November Lima Quebec Alfa Charlie Kilo Echo Yankee,NA,true
18,7/20/2021,false,Lima X-ray Whiskey Oscar Alfa Mike Zulu Sierra Kilo Charlie Uniform Tango November Quebec Romeo Hotel Juliett Foxtrot,NA,false
19,11/27/2021,false,Oscar November Charlie Whiskey Quebec Lima Victor Mike India Echo Sierra Juliett Golf Delta Zulu Hotel Romeo,SA,true
20,10/14/2021,false,Lima Charlie Echo Uniform Alfa Juliett X-ray Mike Papa Zulu Whiskey Hotel Kilo Bravo Victor Tango Sierra,SA,true
21,10/11/2021,true,Tango Delta Lima Oscar Foxtrot Echo Yankee Mike Kilo Hotel,NA,false
22,8/26/2021,true,Romeo Alfa Hotel Echo Yankee Juliett Lima Whiskey Sierra Victor X-ray November Uniform,AS,false
23,8/18/2021,false,Foxtrot Mike Tango Victor Romeo Papa Charlie Echo Uniform Zulu Alfa Golf Lima Delta Quebec Bravo Oscar Hotel Kilo,NA,false
24,7/9/2021,false,India Golf Lima Whiskey Tango Hotel Mike Kilo Oscar Charlie Romeo Victor Yankee November Juliett,SA,true
25,11/3/2021,false,India Tango Foxtrot Romeo Yankee November Papa Oscar Hotel Sierra Victor Juliett Lima Uniform Zulu,NA,true
26,8/17/2021,false,Whiskey India Uniform Zulu Sierra X-ray Charlie Juliett Tango Oscar Foxtrot Victor Papa Bravo,AS,false
27,9/5/2021,false,India Victor Alfa Kilo Quebec Whiskey Golf Lima Bravo Charlie Hotel Foxtrot Sierra Tango Oscar Echo Delta Uniform Juliett Papa,OC,true
28,11/13/2021,false,India X-ray Mike Delta Zulu Echo November Quebec Kilo Foxtrot Lima,OC,true
29,12/1/2021,true,Foxtrot Victor Alfa Hotel Papa Charlie Uniform Juliett Kilo Oscar Yankee,EU,false
30,8/30/2021,true,India Quebec Yankee Papa Whiskey Romeo Golf X-ray Echo Hotel Sierra Zulu,NA,true
31,12/26/2021,true,Lima Oscar Tango Whiskey Delta Echo India Yankee Kilo November Mike X-ray Charlie Quebec Sierra Papa Romeo,NA,false
32,12/20/2021,false,Mike Oscar Juliett Romeo Uniform Whiskey Zulu X-ray November Victor India Yankee Delta Foxtrot Papa,OC,true
33,12/1/2021,true,Echo India Kilo Quebec Alfa November Charlie Bravo Oscar Tango Papa Mike Sierra Zulu Romeo Golf Victor,NA,false
34,9/23/2021,false,Oscar Quebec Alfa Romeo Golf Delta Bravo Kilo Victor India Echo,OC,false
35,7/10/2021,true,Zulu Echo Tango Charlie Quebec Hotel Bravo November Yankee Mike Victor Lima Uniform Foxtrot,NA,false
36,8/21/2021,true,Golf Lima X-ray Echo Yankee Juliett Uniform Mike Quebec November Foxtrot Charlie Victor Whiskey Delta Kilo Alfa,NA,true
37,8/12/2021,false,Quebec Mike Papa X-ray Echo Oscar Charlie India Delta Sierra Golf Juliett Zulu Whiskey Yankee Tango,NA,false
38,7/12/2021,true,November India Victor Tango Delta Hotel Oscar Uniform Quebec Alfa Zulu Echo Bravo,NA,true
39,9/14/2021,false,Oscar November Lima Juliett India Bravo Echo Delta Zulu X-ray Hotel,AS,false
40,9/22/2021,false,Uniform Oscar Echo Kilo Juliett Sierra Delta Foxtrot Whiskey Papa Hotel Quebec Tango Charlie Zulu India Alfa Golf Victor Mike,NA,false
41,11/30/2021,true,Tango Whiskey X-ray Sierra Papa November Foxtrot Echo India Lima,AS,true
42,9/14/2021,false,Papa Kilo Alfa Tango Sierra Mike Whiskey India Golf Quebec Oscar November,AS,false
43,9/24/2021,false,Zulu Mike Juliett India Foxtrot Kilo Quebec Hotel X-ray Oscar Delta Alfa November Victor Whiskey Uniform Sierra Lima,NA,true
44,10/3/2021,false,Hotel Golf Mike Tango Charlie Alfa India November Kilo X-ray Echo Bravo Victor Papa,EU,true
45,12/3/2021,false,X-ray Kilo India Golf Oscar Sierra Juliett Tango Whiskey Bravo Foxtrot Quebec Zulu Victor Uniform Echo,NA,true
46,11/21/2021,false,Charlie Lima Romeo Delta Oscar Foxtrot Juliett Tango Bravo Victor Hotel Papa Yankee Quebec Zulu Echo X-ray Mike November Golf,NA,false
47,11/25/2021,true,Bravo Foxtrot Yankee Hotel Kilo Romeo Juliett Alfa Mike Lima Oscar Tango India Zulu X-ray Echo Whiskey Uniform,NA,false
48,7/20/2021,false,Foxtrot Mike November Juliett Hotel Oscar Romeo Delta Lima Whiskey Kilo Alfa Victor Uniform Papa,AS,false
49,11/6/2021,false,Tango Quebec Hotel Mike Alfa Sierra Charlie Yankee Zulu Kilo Echo Oscar Whiskey Delta Papa X-ray Uniform Romeo Foxtrot,NA,true
50,11/25/2021,false,Zulu Romeo Oscar Kilo Tango Uniform Whiskey X-ray November Delta Hotel,OC,true
51,7/28/2021,false,Lima Zulu Hotel Victor Oscar Uniform November Alfa Foxtrot Kilo Mike Whiskey X-ray Papa Tango,SA,true
52,10/23/2021,true,Bravo Charlie Romeo Whiskey Juliett Sierra Foxtrot Papa Tango Delta Hotel Quebec Echo Kilo Oscar November Golf Mike,AS,false
53,7/14/2021,true,Kilo Papa Juliett Tango Romeo X-ray Mike Whiskey Delta Lima Victor Zulu Bravo Yankee Charlie Uniform Alfa Hotel Oscar Foxtrot,AF,true
54,12/4/2021,false,Foxtrot Oscar Echo Zulu Whiskey Yankee Romeo Uniform Juliett Charlie Alfa Papa Delta Lima Sierra Quebec,NA,false
55,10/21/2021,true,X-ray Foxtrot Kilo Quebec Bravo November Zulu Golf Sierra Lima Delta India Tango Charlie Papa Victor,AS,true
56,7/4/2021,true,Oscar Delta Alfa Zulu Bravo Foxtrot Mike Tango Papa Lima Charlie Hotel,NA,true
57,8/4/2021,true,Echo Hotel Juliett November Sierra Kilo Romeo Foxtrot Victor Alfa Tango Yankee X-ray Charlie,EU,true
58,9/19/2021,true,Hotel Echo Delta Lima Tango Papa Oscar Zulu X-ray India Quebec Juliett November Mike Romeo Kilo,AF,false
59,12/19/2021,true,Romeo November Golf Whiskey Quebec Juliett Oscar Hotel Lima X-ray Sierra Alfa Yankee Foxtrot Uniform Zulu Kilo Victor Echo Tango,NA,true
60,12/18/2021,false,Papa Yankee Whiskey Uniform Charlie Tango Juliett Victor Romeo Bravo November Oscar Zulu Hotel India Delta Kilo Alfa Lima,NA,false
61,8/21/2021,false,Alfa Juliett Charlie Yankee Echo Whiskey Oscar Sierra Bravo India Delta Papa Kilo Victor Uniform Hotel Golf November,NA,false
62,7/19/2021,false,India November Papa Alfa Foxtrot Sierra Kilo Echo Uniform Zulu,NA,false
63,9/24/2021,true,November Uniform Delta Oscar Whiskey India Papa Juliett Tango Quebec Zulu Victor Hotel Mike Charlie Foxtrot Kilo Echo Lima Bravo,OC,false
64,8/11/2021,true,Juliett Papa Sierra Golf Zulu Victor Tango Foxtrot Uniform November Oscar Bravo Delta,AF,false
65,8/31/2021,true,India November Delta Foxtrot Yankee Romeo Zulu Hotel X-ray Echo Juliett Whiskey Golf Oscar Sierra Bravo Kilo Uniform Charlie,NA,false
66,8/10/2021,true,Victor India Mike Uniform Papa Echo Delta Yankee Whiskey November Oscar Quebec Kilo Sierra Hotel Tango Golf Juliett Bravo Romeo,EU,true
67,8/22/2021,true,Whiskey India Uniform Zulu Bravo Foxtrot Oscar Mike Alfa Victor Hotel Juliett Romeo November X-ray Kilo,NA,true
68,10/23/2021,false,Bravo Sierra Golf Zulu Yankee Kilo Whiskey X-ray Tango Delta November Victor Romeo Alfa Uniform Echo Mike,OC,true
69,9/13/2021,true,November Quebec Golf Hotel Delta Tango Yankee Alfa Charlie Romeo Juliett Mike Papa Zulu Victor Uniform Kilo Foxtrot Lima Whiskey,EU,true
70,7/20/2021,true,Mike Quebec Golf Kilo India Juliett Victor Bravo Sierra Foxtrot Whiskey X-ray Zulu Alfa Lima Tango,OC,false
71,8/13/2021,false,Sierra Whiskey Romeo Yankee Delta X-ray Lima Charlie Quebec Bravo Echo Zulu Oscar Hotel Golf Papa,NA,false
72,11/23/2021,true,Kilo Foxtrot Charlie Golf Romeo Oscar Lima Hotel Uniform Victor Echo Bravo,OC,false
73,7/17/2021,true,Victor Delta Echo Oscar Romeo Charlie Papa India Golf Whiskey Hotel Sierra Juliett,NA,true
74,9/28/2021,false,Whiskey Mike Bravo Sierra India Kilo Charlie Yankee Golf Hotel Zulu Lima,OC,false
75,9/25/2021,false,Whiskey Yankee Delta Quebec Sierra Tango Kilo Alfa X-ray Mike Zulu,OC,true
76,8/8/2021,false,Zulu Romeo Golf Papa November Foxtrot Kilo Charlie India Hotel Mike Lima Oscar,NA,true
77,12/19/2021,true,India Juliett Romeo Mike Charlie Quebec Oscar Zulu Golf Sierra Alfa November Whiskey,NA,true
78,9/15/2021,false,Alfa Papa Sierra Whiskey Foxtrot Oscar Charlie Quebec Victor Delta Echo X-ray,NA,true
79,11/3/2021,true,X-ray Tango Juliett Bravo India Echo Oscar Charlie Zulu Yankee Hotel,OC,true
80,11/20/2021,false,Hotel Alfa India Zulu Whiskey November Quebec X-ray Charlie Oscar Golf Foxtrot,AF,true
81,9/14/2021,false,Bravo X-ray Juliett Echo Mike Foxtrot Tango Whiskey Charlie Romeo Papa Hotel Sierra India,AF,false
82,8/9/2021,true,X-ray Juliett Zulu Bravo Quebec Mike Kilo Victor Papa Hotel India November Lima Uniform Echo Yankee Foxtrot Charlie,AS,false
83,7/28/2021,true,Whiskey Yankee Bravo India Romeo Charlie Juliett X-ray Golf Hotel Sierra Victor Quebec Echo,NA,false
84,8/3/2021,true,November Golf Tango Romeo Charlie Alfa Quebec Victor Sierra Kilo Echo Mike Whiskey India Juliett Foxtrot,NA,true
85,9/25/2021,false,Sierra Victor Kilo Zulu Yankee Delta Papa Mike Alfa Bravo Foxtrot Romeo,NA,true
86,11/14/2021,true,Zulu Echo X-ray Tango India Foxtrot Uniform Quebec Juliett Romeo,SA,true
87,11/16/2021,true,Charlie Foxtrot Zulu Uniform India X-ray Whiskey Papa Quebec Victor Lima Alfa Mike Tango Juliett Hotel Echo,SA,false
88,7/12/2021,false,Oscar Yankee Hotel Papa Lima Bravo Foxtrot Zulu Tango Alfa Echo Delta Uniform Sierra,EU,true
89,11/2/2021,true,Tango Foxtrot Oscar Delta Juliett Whiskey Sierra Bravo November Uniform Golf Charlie India Romeo Mike Yankee Victor,SA,true
90,11/4/2021,false,Foxtrot Delta Papa November Uniform Oscar Kilo Victor Lima X-ray Sierra Hotel Zulu,SA,true
91,8/25/2021,true,Quebec Oscar Mike Bravo Golf Zulu Charlie Tango November Uniform India Sierra Alfa Delta Echo X-ray Kilo Hotel Foxtrot Lima,AF,true
92,8/9/2021,true,Golf Yankee Sierra Delta Victor Alfa Kilo Bravo Echo Foxtrot,NA,false
93,7/8/2021,true,Foxtrot Victor Delta Charlie November Uniform Bravo Oscar Alfa India Romeo Yankee Mike Golf Hotel,EU,true
94,11/18/2021,false,Golf Foxtrot Charlie Papa November Lima Bravo Victor India Yankee Hotel Mike Alfa,NA,false
95,7/26/2021,false,Sierra X-ray Quebec Alfa Victor Zulu Foxtrot Whiskey Kilo Echo Bravo Juliett Uniform Lima Hotel Tango November India Golf Delta,OC,false
96,11/26/2021,true,Alfa Zulu Kilo Quebec Juliett Yankee Whiskey Papa Victor Lima Oscar Delta X-ray November Mike Hotel Sierra Uniform,AS,true
97,9/4/2021,true,Lima Charlie November Victor Bravo India Romeo Delta Golf Zulu Mike Echo Quebec Yankee Tango,EU,false
98,8/19/2021,true,Quebec Romeo Alfa Zulu Uniform X-ray Kilo November Yankee Whiskey Victor Golf Hotel Delta Charlie Juliett,OC,false
99,9/2/2021,true,Alfa X-ray Whiskey Romeo India Sierra Lima Kilo Mike Hotel Delta Foxtrot Yankee Bravo Echo Zulu Papa Victor November Oscar,OC,true
100,12/18/2021,true,Echo November India Tango Alfa Delta Papa Zulu Romeo Charlie Whiskey Oscar Victor Yankee,EU,true
101,7/24/2021,true,Bravo Oscar Echo Zulu X-ray Juliett Sierra Yankee Golf November Uniform Victor Lima Hotel India Charlie Delta,NA,true
102,7/30/2021,true,Hotel Bravo Delta Papa Kilo Whiskey Juliett Alfa Uniform Lima Tango,NA,true
103,9/11/2021,false,Kilo Charlie Papa Quebec India Whiskey Golf Alfa Tango November Mike Delta,NA,false
104,10/14/2021,true,Sierra Uniform Lima Tango X-ray Hotel Golf Mike Papa Kilo Echo,AS,false
105,11/7/2021,false,Zulu Yankee Quebec Lima Charlie Foxtrot Whiskey Alfa Romeo Kilo X-ray Golf India Mike,NA,false
106,11/25/2021,false,Oscar Alfa Hotel Juliett Sierra Kilo Charlie Uniform Quebec Whiskey Zulu Golf Echo Mike Victor Bravo,AF,true
107,10/7/2021,false,Delta Yankee Foxtrot Quebec Kilo Whiskey Romeo Sierra Uniform X-ray Charlie Papa Zulu Tango India Juliett,EU,true
108,11/15/2021,true,November Victor Tango X-ray Foxtrot Yankee Echo Whiskey Alfa Oscar Papa Mike Bravo,OC,false
109,8/15/2021,true,Charlie November Echo Juliett Bravo Tango Foxtrot Oscar Quebec Alfa Golf Mike Uniform Romeo India X-ray,AF,false
110,9/6/2021,false,Golf Foxtrot November Yankee Delta Bravo Papa Hotel Tango Sierra Uniform,AS,false
111,12/27/2021,false,Bravo Yankee Victor Charlie Golf Papa November Alfa Foxtrot Sierra Kilo Echo Juliett Zulu Romeo X-ray Hotel,AF,true
